Name,TORUS,CODATA2022,CODATA2018,CODATA2014,Residual_2022,Residual_2018,Residual_2014
Alpha,0.00729735257,0.00729735257,0.0072973525664,0.0072973525664,0.0,3.6e-13,3.6e-13
PlanckConstant,6.62607015e-34,6.62607015e-34,6.62607004e-34,6.62606957e-34,0.0,1.1e-43,5.8e-43
GravitationalConstant,6.67430e-11,6.67430e-11,6.67430e-11,6.67408e-11,0.0,0.0,2.2e-14
SpeedOfLight,2.99792458e8,2.99792458e8,2.99792458e8,2.99792458e8,0.0,0.0,0.0
BoltzmannConstant,1.380649e-23,1.380649e-23,1.380649e-23,1.38064852e-23,0.0,0.0,4.8e-30
AvogadroNumber,6.02214076e23,6.02214076e23,6.02214076e23,6.022140857e23,0.0,0.0,-9.7e14
ElementaryCharge,1.602176634e-19,1.602176634e-19,1.6021766208e-19,1.6021766208e-19,0.0,1.32e-27,1.32e-27
ElectronMass,9.10938356e-31,9.10938356e-31,9.10938356e-31,9.10938291e-31,0.0,0.0,6.5e-38
PlanckTime,5.391247e-44,5.391247e-44,5.391247e-44,5.39116e-44,0.0,0.0,8.7e-49
PlanckLength,1.616255e-35,1.616255e-35,1.616255e-35,1.616229e-35,0.0,0.0,2.6e-40
PlanckMass,2.176434e-8,2.176434e-8,2.176434e-8,2.17651e-8,0.0,0.0,-7.6e-13
CosmicLength,4.4e26,4.4e26,4.4e26,4.4e26,0.0,0.0,0.0
CosmicTime,4.35e17,4.35e17,4.35e17,4.35e17,0.0,0.0,0.0
UnifiedCoupling,1.0,1.0,1.0,1.0,0.0,0.0,0.0
